id,name,address,lat,lng,category,created_at,updated_at
154,화산옥,경기 수원시 팔달구 수성로157번길 27-13 1층,37.2872490511487,126.988885344572,오리요리,2026-06-20,2026-06-20
155,소담촌 수원정자점,경기 수원시 장안구 정자천로 171 경성빌딩 4층,37.2952261532742,126.99447298788,샤브샤브,2026-06-20,2026-06-20
156,더벤티 수원율전점,경기 수원시 장안구 서부로2123번길 33 운화빌딩 1층,37.2983326474694,126.969170803527,카페,2026-06-20,2026-06-20
157,메가MGC커피 화서역브리시엘점,경기 수원시 장안구 수성로157번길 60 1층 126호,37.2888187368683,126.989734067259,카페,2026-06-20,2026-06-20
158,무대뽀핫도그 성대점,경기 수원시 장안구 서부로2106번길 17,37.2970029609184,126.971213205918,핫도그,2026-06-20,2026-06-20
159,곱분이곱창 성균관대점,경기 수원시 장안구 서부로2123번길 20-1 B동 101호,37.2985913774211,126.970395117682,"곱창,막창,양",2026-06-20,2026-06-20
160,투썸플레이스 수원화서역점,경기 수원시 팔달구 수성로157번길 59 1층,37.2886706951809,126.988731651997,카페,2026-06-20,2026-06-20
161,옥돌해세꼬시,경기 수원시 팔달구 수성로157번길 41-18,37.2880098656473,126.988648637884,생선회,2026-06-20,2026-06-20
162,메가엠지씨커피 화서꽃뫼사거리점,경기 수원시 팔달구 화산로 6 1층,37.28539441783,126.986089429935,카페,2026-06-20,2026-06-20
163,스타벅스 스타필드수원1F점,경기 수원시 장안구 수성로 175 (정자동),37.2874453391147,126.991574559571,카페,2026-06-20,2026-06-20
164,가장맛있는뒷고기 천천점,경기 수원시 장안구 덕영대로511번길 29-16,37.2996740949587,126.980007248116,돼지고기구이,2026-06-20,2026-06-20
165,대동집 수원성균관대점,경기 수원시 장안구 율전로108번길 15,37.2989603661052,126.970092814206,요리주점,2026-06-20,2026-06-20
166,금금 스타필드 수원점,경기 수원시 장안구 수성로 175 스타필드 수원 7층,37.2874453391147,126.991574559571,한식,2026-06-20,2026-06-20
167,메가MGC커피 수원율전점,경기 수원시 장안구 서부로2105번길 16-4,37.2969479254178,126.969486151378,"카페,디저트",2026-06-20,2026-06-20
168,백령도바지락칼국수,경기 수원시 장안구 화산로233번길 49 2층,37.2975901458948,126.970397991374,"칼국수,만두",2026-06-20,2026-06-20
169,해랑어시장,경기 수원시 권선구 일월천로10번길 15,37.283202066201,126.973692965477,생선회,2026-06-20,2026-06-20
170,세이유쌀국수,경기 수원시 장안구 덕영대로511번길 29-7 1층,37.2993664631311,126.979901646684,베트남음식,2026-06-20,2026-06-20
171,옥집,"경기 수원시 장안구 율전로108번길 20 2층 201호,202호(율전동)",37.2987322842357,126.970333818796,요리주점,2026-06-20,2026-06-20
172,맘스터치 BEEF 수원성균관대점,경기 수원시 장안구 서부로 2128,37.2982521247949,126.971821440611,햄버거,2026-06-20,2026-06-20
173,이디야커피 일월수목원점,"경기 수원시 장안구 일월로 68 1층, 2층",37.2888723661722,126.977493918182,카페,2026-06-20,2026-06-20
174,블루포트 성균관대 공학관점,경기 수원시 장안구 서부로 2066 제1공학관 1층 카페 블루포트,37.2959770000514,126.974164012539,"카페,디저트",2026-06-20,2026-06-20
175,유유진진,경기 수원시 장안구 덕영대로497번길 14-17 1층 카페 유유진진,37.2990705831867,126.978982389661,브런치,2026-06-20,2026-06-20
176,포메인 천천점,경기 수원시 장안구 만석로19번길 25-6 광장프라자 302호,37.2965397443129,126.982856671128,베트남음식,2026-06-20,2026-06-20
177,해품짬 본점,경기 수원시 장안구 정자로 16-1,37.2999686184918,126.978825249673,중식당,2026-06-20,2026-06-20
178,중화반점 수원정자점,경기 수원시 장안구 정자천로 171 1층,37.2952261532742,126.99447298788,중식당,2026-06-20,2026-06-20
179,빠우 스타필드 수원점,경기 수원시 장안구 수성로 175 스타필드 수원 7층 7182호,37.2874453391147,126.991574559571,도넛,2026-06-20,2026-06-20
180,와룡각,경기 수원시 권선구 일월천로4번길 7-3 와룡각,37.2827286341704,126.972780871929,중식당,2026-06-20,2026-06-20
181,소곱친구 화서역점,경기 수원시 팔달구 수성로157번길 27-4 102호,37.2874659755153,126.989368422653,"곱창,막창,양",2026-06-20,2026-06-20
182,마장동 정육식당,경기 수원시 팔달구 수성로157번길 5-15,37.2865350191183,126.989332241887,정육식당,2026-06-20,2026-06-20
183,히닭발,경기 수원시 장안구 율전로98번길 18-4 1층 히닭발,37.2978554594209,126.969523004252,한식,2026-06-20,2026-06-20
184,국수파동,경기 수원시 장안구 화산로233번길 64 1층,37.2970065792264,126.969823129294,국수,2026-06-20,2026-06-20
185,초가집,경기 수원시 권선구 서수원로594번길 260,37.2860573915624,126.958641301623,낙지요리,2026-06-20,2026-06-20
186,삼구포차 수원성대점,경기 수원시 장안구 화산로233번길 52,37.2975724834007,126.970031331482,포장마차,2026-06-20,2026-06-20
187,송담추어탕 본점,경기 수원시 권선구 구운로86번길 23,37.280703513547,126.974237341585,추어탕,2026-06-20,2026-06-20
